Won,Lost,Draw,GF,GA,PPM,Foreign playing time %,Average age,diversity
10,16,12,39,48,1.105263157894737,56.78024849357436,26.444444444444443,1.03290203735
10,16,12,44,57,1.105263157894737,38.446994913855086,24.275862068965516,1.01785717693
10,17,11,50,56,1.0789473684210527,53.02063589524547,24.571428571428573,1.02727783666
9,15,14,38,54,1.0789473684210527,33.08695535738197,24.303030303030305,1.01378124536
10,18,10,35,53,1.0526315789473684,40.03114846540103,25.8,1.01904416418
10,16,12,51,60,1.0263157894736843,53.203624733475486,25.91176470588235,1.02745656222
6,16,16,31,59,0.8947368421052632,43.8989323464416,24.939393939393938,1.01914897
23,6,9,68,33,2.0526315789473686,43.09637912673057,25.233333333333334,1.01720851811
23,7,8,73,26,2.026315789473684,38.78692629391865,23.8125,1.02111615205
18,9,11,68,42,1.7105263157894737,39.75357371452955,23.78787878787879,1.02019050507
20,15,3,71,43,1.6578947368421053,66.92268714830519,25.085714285714285,1.04385068056
17,13,8,57,46,1.5526315789473684,70.82675796399818,22.694444444444443,1.03950239343
16,12,10,57,52,1.5263157894736843,55.19160608239461,24.580645161290324,1.02583338834
17,15,6,49,48,1.5,31.51797603195739,23.266666666666666,1.01898117572
16,14,8,56,57,1.4736842105263157,46.991817744264395,24.83783783783784,1.02763787821
16,15,7,52,49,1.4473684210526316,69.92075311137113,24.4,1.0483335392
13,11,14,51,41,1.394736842105263,54.29577089221909,25.444444444444443,1.02952928811
12,10,16,46,44,1.368421052631579,44.583199914612024,24.6875,1.02622730108
14,18,6,50,55,1.263157894736842,38.184341883992204,24.41025641025641,1.01755167315
11,16,11,35,44,1.1578947368421053,47.19957367439382,24.128205128205128,1.03738970426
11,16,11,44,56,1.1578947368421053,54.83286722599547,24.972972972972972,1.04060812327
12,18,8,52,67,1.1578947368421053,45.62271111229918,25.75,1.02612425174
9,16,13,41,56,1.0526315789473684,44.129976236883564,23.833333333333332,1.02282379806
9,16,13,41,61,1.0526315789473684,49.43617622520656,25.272727272727273,1.02689211321
10,23,5,37,82,0.9210526315789473,41.03322409612874,26.0,1.0330210677
